a b a b a b a b a b a b a b a b a b a b a b a b a b a b a b a b
b d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d a
a d c c c c c d c c c c d d c c c d c c c c c d d d d d d d d b
b d d d c d d d c d d d d c d d d d d d c d d d d d d d d d d a
a d d d c d d d c c c d d d c c d d d d c d d d d d d d d d d b
b d d d c d d d c d d d d d d d c d d d c d d d d d d d d d d a
a d d d c d d d c c c c d c c c d d d d c d d d d d d d d d d b
b d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d a
a d d c c c d c c c d d c c c d d c c c d c c c c c d c c c d b
b d c d d d d c d d c d c d d c d d c d d d d c d d d c d d d a
a d d c c d d c c c d d c c c d d d c d d d d c d d d c c d d b
b d d d d c d c d d d d c d d c d d c d d d d c d d d c d d d a
a d c c c d d c d d d d c d d c d c c c d d d c d d d c c c d b
b d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d a
a d c d d d c d d c c d d c d d d c d c d c d c d d d d d d d b
b d d c d c d d c d d c d d c d c d d c d c d c d d d d d d d a
a d d d c d d d c c c c d d d c d d d c d c d c d d d d d d d b
b d d d c d d d c d d c d d d c d d d d d d d d d d d d d d d a
a d d d c d d d c d d c d d d c d d d c d c d c d d d d d d d b
b d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d a
a d c d d d c d d c c d d c d d c d c c c c d d d c d d d d d b
b d c c d c c d c d d c d c d d c d c d d d d d c c d d d d d a
a d c d c d c d c c c c d c c c d d c c c d d d d c d d d d d b
b d c d d d c d c d d c d c d d c d c d d d d d d c d d d d d a
a d c d d d c d c d d c d c d d c d c c c c d d c c c d d d d b
b d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d a
a d c c c c c d d c c d d d c c d d c d d d d d d d d d d d d b
b d d d c d d d c d d c d c d d c d c d d d d d d d d d d d d a
a d d d c d d d c d d c d c d d c d d d d d d d d d d d d d d b
b d d d c d d d d c c d d d c c d d c d d d d d d d d d d d d a
a d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d b
b a b a b a b a b a b a b a b a b a b a b a b a b a b a b a b a

%a = ffff
%b = ff00
%c = 00ff
%d = 0000
